url,name,university,university_url,modality,price,location,credits,years
https://www.gradomania.com/grado-de-nuevas-tecnologias-interactivas-barcelona-214968_q08.html,Título Oficial de Grado en Nuevas Tecnologías Interactivas,Facultad de Nuevas Tecnologias Interactivas - Escola de Noves Tecnologies Interactives (ENTI),https://www.gradomania.com/facultad-de-nuevas-tecnologias-interactivas-escola-de-noves-tecnologies-interactives-enti-3954_q04.html,Presencial,Información no disponible,,288,4.8
https://www.gradomania.com/grado-en-ingenieria-informatica-gipuzkoa-90633_q08.html,Título Oficial de Grado en Ingeniería Informática.,Facultad de Informática Donostia-San Sebastián - Universidad del País Vasco - Euskal Herriko Unibertsitatea,https://www.gradomania.com/facultad-de-informatica-donostia-san-sebastian-universidad-del-pais-vasco-euskal-herriko-unibertsitatea-2495_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-tecnologias-informaticas-sevilla-82653_q08.html,Título Oficial de Grado en Ingeniería Informática - Tecnologías Informáticas.,Escuela Técnica Superior de Ingeniería Informática - Universidad de Sevilla,https://www.gradomania.com/escuela-tecnica-superior-de-ingenieria-informatica-universidad-de-sevilla-2401_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-de-nuevas-tecnologias-interactivas-barcelona-214968_q08.html,Título Oficial de Grado en Nuevas Tecnologías Interactivas,Facultad de Nuevas Tecnologias Interactivas - Escola de Noves Tecnologies Interactives (ENTI),https://www.gradomania.com/facultad-de-nuevas-tecnologias-interactivas-escola-de-noves-tecnologies-interactives-enti-3954_q04.html,Presencial,Información no disponible,,288,4.8
https://www.gradomania.com/doble-grado-ingenieria-informatica-direccion-y-creacion-de-empresas-madrid-64808_q08.html,Doble Grado: Ingeniería Informática + Dirección y Creación de Empresas,Escuela Politécnica - Universidad Europea de Madrid,https://www.gradomania.com/escuela-politecnica-universidad-europea-de-madrid-1824_q04.html,Presencial,Información no disponible,,0,0.0
https://www.gradomania.com/grado-en-ingenieria-en-informatica-alicante-alacant-90726_q08.html,Título Oficial de Grado en Ingeniería en Informática.,E.Politécnica Superior - Universidad de Alicante,https://www.gradomania.com/epolitecnica-superior-universidad-de-alicante-2109_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-cordoba-82776_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Politécnica Superior - Universidad de Córdoba,https://www.gradomania.com/escuela-politecnica-superior-universidad-de-cordoba-2233_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-madrid-64823_q08.html,Graduado o graduada en Ingeniería Informática,Escuela Politécnica - Universidad Europea de Madrid,https://www.gradomania.com/escuela-politecnica-universidad-europea-de-madrid-1824_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-jaen-82861_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Politécnica Superior - Jaén - Universidad de Jaén,https://www.gradomania.com/escuela-politecnica-superior-jaen-universidad-de-jaen-2297_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-leon-82932_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela de Ingenierías Industrial e Informática - Universidad de León,https://www.gradomania.com/escuela-de-ingenierias-industrial-e-informatica-universidad-de-leon-2335_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-valencia-valencia-239029_q08.html,Graduado o graduada en Ingeniería Informática,Escuela de Arquitectura y Politécnica - Universidad Europea de Valencia,https://www.gradomania.com/escuela-de-arquitectura-y-politecnica-universidad-europea-de-valencia-3448_q04.html,Presencial,Información no disponible,,0,0.0
https://www.gradomania.com/grado-en-ingenieria-informatica-coruna-91060_q08.html,Título Oficial de Grado en Ingeniería Informática.,Facultade de Informática - Universidade da Coruña,https://www.gradomania.com/facultade-de-informatica-universidade-da-coruna-1566_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-navarra-nafarroa-83026_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación - Universidad Pública de Navarra,https://www.gradomania.com/escuela-tecnica-superior-de-ingenieros-industriales-y-de-telecomunicacion-universidad-publica-de-navarra-2596_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-en-informatica-barcelona-64975_q08.html,Título Oficial de Grado en Ingeniería en Informática.,Escola Superior Politècnica - Universitat Pompeu Fabra,https://www.gradomania.com/escola-superior-politecnica-universitat-pompeu-fabra-1663_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-girona-91141_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escola Politècnica Superior - Universitat de Girona,https://www.gradomania.com/escola-politecnica-superior-universitat-de-girona-1636_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-santa-cruz-de-tenerife-83069_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Técnica Superior de Ingeniería Informática - Universidad de La Laguna,https://www.gradomania.com/escuela-tecnica-superior-de-ingenieria-informatica-universidad-de-la-laguna-1589_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-barcelona-65084_q08.html,Título Oficial de Grado en Ingeniería Informática,Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-del-software-asturias-91339_q08.html,Título Oficial de Grado en Ingeniería Informática del Software.,Escuela Universitaria de Ingeniería Técnica Informática - Universidad de Oviedo,https://www.gradomania.com/escuela-universitaria-de-ingenieria-tecnica-informatica-universidad-de-oviedo-2386_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-salamanca-83239_q08.html,Título Oficial de Grado en Ingeniería Informática.,Facultad de Ciencias - Universidad de Salamanca,https://www.gradomania.com/facultad-de-ciencias-universidad-de-salamanca-1745_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-de-ingenieria-informatica-mencion-de-tecnologias-de-la-informacion-grado-de-ingenieria-de-sistemas-de-telecomunica-228143_q08.html,Título Oficial de Grado de Ingeniería Informática (Mención de Tecnologías de la Información) + Grado de Ingeniería de Sistemas de Telecomunicación.,Escuela de Ingeniería - Universitat Autònoma de Barcelona - UAB,https://www.gradomania.com/escuela-de-ingenieria-universitat-autonoma-de-barcelona-uab-1507_q04.html,Presencial,Información no disponible,,0,0.0
https://www.gradomania.com/grado-en-ingenieria-en-organizacion-de-las-tic-barcelona-65085_q08.html,Título Oficial de Grado en ingeniería en organización de las TIC,Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-en-tecnologias-de-la-informacion-asturias-91343_q08.html,Título Oficial de Grado en Ingeniería Informática en Tecnologías de la Información.,E.P.S. de Ingeniería de Gijón - Universidad de Oviedo,https://www.gradomania.com/eps-de-ingenieria-de-gijon-universidad-de-oviedo-2378_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/doble-grado-en-ingenieria-informatica-y-administracion-y-direccion-de-empresas-las-palmas-93460_q08.html,Título Oficial de Doble Grado en Ingeniería Informática y Administración y Dirección de Empresas.,Escuela de Ingeniería Informática - Universidad de Las Palmas de Gran Canaria,https://www.gradomania.com/escuela-de-ingenieria-informatica-universidad-de-las-palmas-de-gran-canaria-2313_q04.html,Presencial,Información no disponible,,360,6.0
https://www.gradomania.com/grado-en-ingenieria-informatica-bizkaia-83309_q08.html,Título Oficial de Grado en Ingeniería Informática.,Facultad de Ingeniería - Universidad de Deusto,https://www.gradomania.com/facultad-de-ingenieria-universidad-de-deusto-2240_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/doble-grado-en-ingenieria-informatica-administracion-de-empresas-madrid-229261_q08.html,Título Oficial de Doble Grado en Ingeniería Informática - Administración de empresas,Facultad de Ciencias Sociales y Jurídicas - Universidad Carlos III de Madrid - UC3M,https://www.gradomania.com/facultad-de-ciencias-sociales-y-juridicas-universidad-carlos-iii-de-madrid-uc3m-2845_q04.html,Presencial,Información no disponible,,390,6.5
https://www.gradomania.com/grado-en-ingenieria-informatica-valladolid-65834_q08.html,Título Oficial de Grado en Ingeniería Informática,Escuela Politécnica Superior - Universidad Europea Miguel de Cervantes,https://www.gradomania.com/escuela-politecnica-superior-universidad-europea-miguel-de-cervantes-2502_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-en-ingenieria-de-computadores-caceres-92791_q08.html,Título Oficial de Grado en Ingeniería Informática en Ingeniería de Computadores.,Escuela Politécnica - Universidad de Extremadura,https://www.gradomania.com/escuela-politecnica-universidad-de-extremadura-2252_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-de-servicios-y-aplicaciones-segovia-93485_q08.html,Título Oficial de Grado en Ingeniería Informática de Servicios y Aplicaciones.,Escuela Universitaria de Informática - Universidad de Valladolid,https://www.gradomania.com/escuela-universitaria-de-informatica-universidad-de-valladolid-2456_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/doble-grado-en-administracion-y-direccion-de-empresas-e-ingenieria-informatica-gipuzkoa-83327_q08.html,Título Oficial de Doble Grado en Administración y Dirección de Empresas e Ingeniería Informática.,Facultad de Ciencias Económicas y Empresariales - ESTE - Universidad de Deusto,https://www.gradomania.com/facultad-de-ciencias-economicas-y-empresariales-este-universidad-de-deusto-2246_q04.html,Presencial,Información no disponible,,360,6.0
